operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
OI Fixa;UBA;MG;2015-06-22;880;29;3,3
BrT Fixa;LUZIANIA;GO;2015-06-22;871;41;4,71
BrT Fixa;CALDAS NOVAS;GO;2015-06-22;862;24;2,78
OI Fixa;ITABIRITO;MG;2015-06-22;861;23;2,67
OI Fixa;IRECE;BA;2015-06-22;859;77;8,96
Embratel;TAUBATE;SP;2015-06-22;857;21;2,45
BrT Fixa;PORTO NACIONAL;TO;2015-06-22;856;37;4,32
Telefônica;PARAGUACU PAULISTA;SP;2015-06-22;855;45;5,26
BrT Fixa;COLOMBO;PR;2015-06-22;854;8;0,94
OI Fixa;JUAZEIRO DO NORTE;CE;2015-06-22;853;62;7,27
BrT Fixa;CANOINHAS;SC;2015-06-22;853;163;19,11
BrT Fixa;JARU;RO;2015-06-22;851;86;10,11
BrT Fixa;TRES LAGOAS;MS;2015-06-22;851;39;4,58
Telefônica;MONGAGUA;SP;2015-06-22;850;26;3,06
Telefônica;VINHEDO;SP;2015-06-22;850;101;11,88
Telefônica;PAULINIA;SP;2015-06-22;848;71;8,37
OI Fixa;ARRAIAL DO CABO;RJ;2015-06-22;847;32;3,78
GVT;SANTO ANDRE;SP;2015-06-22;844;134;15,88
Telefônica;PIRAJU;SP;2015-06-22;842;26;3,09
OI Fixa;VESPASIANO;MG;2015-06-22;841;18;2,14
Telefônica;NOVA ODESSA;SP;2015-06-22;840;30;3,57
BrT Fixa;FAZENDA RIO GRANDE;PR;2015-06-22;838;30;3,58
Embratel;JAU;SP;2015-06-22;838;7;0,84
Telefônica;ARTUR NOGUEIRA;SP;2015-06-22;833;108;12,97
Embratel;DIADEMA;SP;2015-06-22;831;23;2,77
BrT Fixa;NOVO HAMBURGO;RS;2015-06-22;831;9;1,08
OI Fixa;CASIMIRO DE ABREU;RJ;2015-06-22;831;6;0,72
Telefônica;PORTO FERREIRA;SP;2015-06-22;824;24;2,91
OI Fixa;SOBRAL;CE;2015-06-22;823;20;2,43
BrT Fixa;RIO GRANDE;RS;2015-06-22;822;3;0,36
BrT Fixa;OURO PRETO DO OESTE;RO;2015-06-22;822;29;3,53
OI Fixa;PAULO AFONSO;BA;2015-06-22;821;12;1,46
OI Fixa;SAO LOURENCO;MG;2015-06-22;820;22;2,68
Embratel;AMERICANA;SP;2015-06-22;817;15;1,84
Telefônica;DRACENA;SP;2015-06-22;814;72;8,85
Embratel;INDAIATUBA;SP;2015-06-22;814;17;2,09
BrT Fixa;NAVEGANTES;SC;2015-06-22;813;8;0,98
Embratel;ARACATUBA;SP;2015-06-22;811;26;3,21
