operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
BrT Fixa;IPORA;PR;2015-06-22;23;0;0
OI Fixa;JABORANDI;BA;2015-06-22;23;0;0
Algar Telecom;SAO PAULO;SP;2015-06-22;23;1;4,35
OI Fixa;RIO DO FOGO;RN;2015-06-22;23;0;0
Algar Telecom;PIRAJUBA;MG;2015-06-22;23;0;0
BrT Fixa;CERRO AZUL;PR;2015-06-22;23;0;0
BrT Fixa;NOVO DIAMANTINO;MT;2015-06-22;23;0;0
OI Fixa;VARGEM GRANDE;MA;2015-06-22;23;1;4,35
OI Fixa;TAPEROA;PB;2015-06-22;23;0;0
Telefônica;LUPERCIO;SP;2015-06-22;23;0;0
OI Fixa;INIMUTABA;MG;2015-06-22;23;0;0
GVT;CAMARAGIBE;PE;2015-06-22;23;0;0
OI Fixa;MUNIZ FERREIRA;BA;2015-06-22;23;1;4,35
Embratel;VALPARAISO DE GOIAS;GO;2015-06-22;23;2;8,7
BrT Fixa;CANDIDO GODOI;RS;2015-06-22;23;0;0
Telefônica;IRAPURU;SP;2015-06-22;23;1;4,35
OI Fixa;OLHO D'AGUA DAS CUNHAS;MA;2015-06-22;23;1;4,35
OI Fixa;CARACOL;PI;2015-06-22;23;0;0
Algar Telecom;CANAPOLIS;MG;2015-06-22;23;0;0
OI Fixa;ITAIPAVA;ES;2015-06-22;23;1;4,35
BrT Fixa;DOM AQUINO;MT;2015-06-22;23;8;34,78
OI Fixa;IGARAPE-MIRI;PA;2015-06-22;23;0;0
Telefônica;EMBAUBA;SP;2015-06-22;23;1;4,35
BrT Fixa;FATIMA DO SUL;MS;2015-06-22;23;0;0
BrT Fixa;RIO DO OESTE;SC;2015-06-22;23;0;0
OI Fixa;FERROS;MG;2015-06-22;23;0;0
Telefônica;BOM SUCESSO DE ITARARE;SP;2015-06-22;23;3;13,04
OI Fixa;SAUDE;BA;2015-06-22;23;1;4,35
OI Fixa;GUIRICEMA;MG;2015-06-22;23;2;8,7
BrT Fixa;ANDIRA;PR;2015-06-22;23;2;8,7
OI Fixa;CABECEIRAS DO PIAUI;PI;2015-06-22;23;0;0
OI Fixa;PALMEIRINA;PE;2015-06-22;23;1;4,35
BrT Fixa;CORUMBA DE GOIAS;GO;2015-06-22;23;1;4,35
BrT Fixa;CEZARINA;GO;2015-06-22;23;0;0
OI Fixa;TUNTUM;MA;2015-06-22;23;0;0
Telefônica;ALVARO DE CARVALHO;SP;2015-06-22;23;0;0
BrT Fixa;BALIZA;GO;2015-06-22;23;0;0
OI Fixa;PAUDALHO;PE;2015-06-22;23;0;0
OI Fixa;ALTO DO RODRIGUES;RN;2015-06-22;22;0;0
BrT Fixa;INOCENCIA;MS;2015-06-22;22;4;18,18
GVT;CEILANDIA NORTE;DF;2015-06-22;22;0;0
Engevox;PRADO;BA;2015-06-22;22;0;0
OI Fixa;ANTONIO DIOGO;CE;2015-06-22;22;1;4,55
Telefônica;PONGAI;SP;2015-06-22;22;0;0
BrT Fixa;ALVORADA D OESTE;RO;2015-06-22;22;1;4,55
Idt Brasil;DIADEMA;SP;2015-06-22;22;0;0
Telefônica;POLONI;SP;2015-06-22;22;0;0
OI Fixa;RIACHO DOS MACHADOS;MG;2015-06-22;22;0;0
Valenet;ITABIRA;MG;2015-06-22;22;2;9,09
GVT;CAMPINA GRANDE SUL;PR;2015-06-22;22;0;0
OI Fixa;CAMPO GRANDE DO PIAUI;PI;2015-06-22;22;0;0
OI Fixa;PINDOBACU;BA;2015-06-22;22;3;13,64
OI Fixa;FELISBURGO;MG;2015-06-22;22;0;0
OI Fixa;CARAUBAS;RN;2015-06-22;22;1;4,55
OI Fixa;CANTANHEDE;MA;2015-06-22;22;0;0
BrT Fixa;GRAVATAL;SC;2015-06-22;22;1;4,55
BrT Fixa;ANICUNS;GO;2015-06-22;22;1;4,55
OI Fixa;COMERCINHO;MG;2015-06-22;22;1;4,55
BrT Fixa;HUMAITA;AM;2015-06-22;22;1;4,55
BrT Fixa;ITAPEVI;SP;2015-06-22;22;0;0
BrT Fixa;PRUDENTOPOLIS;PR;2015-06-22;22;0;0
OI Fixa;FUNILANDIA;MG;2015-06-22;22;1;4,55
OI Fixa;RAPOSO;RJ;2015-06-22;22;1;4,55
OI Fixa;UBAPORANGA;MG;2015-06-22;22;0;0
Embratel;RIO VERDE;GO;2015-06-22;22;0;0
Level 3;DIADEMA;SP;2015-06-22;22;0;0
OI Fixa;VARZEA DA ROCA;BA;2015-06-22;22;1;4,55
Telefônica;OLEO;SP;2015-06-22;22;6;27,27
OI Fixa;SANTA RITA DE CALDAS;MG;2015-06-22;22;0;0
OI Fixa;PORTEIRAS;CE;2015-06-22;22;1;4,55
OI Fixa;ITAQUARA;BA;2015-06-22;22;0;0
OI Fixa;MERUOCA;CE;2015-06-22;22;0;0
OI Fixa;IPUIUNA;MG;2015-06-22;22;0;0
OI Fixa;FATIMA;BA;2015-06-22;22;0;0
BrT Fixa;PLACIDO DE CASTRO;AC;2015-06-22;22;8;36,36
BrT Fixa;LUZERNA;SC;2015-06-22;22;0;0
OI Fixa;NATALANDIA;MG;2015-06-22;22;0;0
OI Fixa;SANTA HELENA;MA;2015-06-22;22;0;0
OI Fixa;POMBAL;PB;2015-06-22;22;2;9,09
OI Fixa;IPUEIRAS;CE;2015-06-22;22;0;0
OI Fixa;SANTA ROSA DA SERRA;MG;2015-06-22;22;0;0
BrT Fixa;PASSOS MAIA;SC;2015-06-22;22;5;22,73
OI Fixa;MALHADA;BA;2015-06-22;21;0;0
BrT Fixa;PORTO MURTINHO;MS;2015-06-22;21;0;0
Telefônica;MARINOPOLIS;SP;2015-06-22;21;1;4,76
OI Fixa;BAYEUX;PB;2015-06-22;21;2;9,52
OI Fixa;CURRAL DE DENTRO;MG;2015-06-22;21;0;0
OI Fixa;LAGO DA PEDRA;MA;2015-06-22;21;0;0
OI Fixa;MUCURI;MG;2015-06-22;21;2;9,52
OI Fixa;ITAJU DO COLONIA;BA;2015-06-22;21;0;0
BrT Fixa;ALVORADA DO NORTE;GO;2015-06-22;21;0;0
BrT Fixa;BALNEARIO CAMBURIU;SC;2015-06-22;21;0;0
OI Fixa;ULIANOPOLIS;PA;2015-06-22;21;1;4,76
BrT Fixa;TEREZOPOLIS DE GOIAS;GO;2015-06-22;21;0;0
OI Fixa;INHAPI;AL;2015-06-22;21;0;0
OI Fixa;ENGENHEIRO PASSOS;RJ;2015-06-22;21;0;0
Vivo Fixo;MONTES CLAROS;MG;2015-06-22;21;0;0
OI Fixa;CANAA;MG;2015-06-22;21;1;4,76
OI Fixa;RESSAQUINHA;MG;2015-06-22;21;1;4,76
Telefônica;SUZANAPOLIS;SP;2015-06-22;21;0;0
OI Fixa;TIROS;MG;2015-06-22;21;0;0
OI Fixa;PINDARE MIRIM;MA;2015-06-22;21;1;4,76
Telefônica;SAO JOSE DO BARREIRO;SP;2015-06-22;21;0;0
OI Fixa;SAO PEDRO DA UNIAO;MG;2015-06-22;21;0;0
OI Fixa;CENTRAL DE MINAS;MG;2015-06-22;21;0;0
BrT Fixa;EDEALINA;GO;2015-06-22;21;12;57,14
OI Fixa;PERPETUO SOCORRO;MG;2015-06-22;21;2;9,52
BrT Fixa;NOVA PRATA DO IGUACU;PR;2015-06-22;21;0;0
OI Fixa;SAO JOAO DA MATA;MG;2015-06-22;21;2;9,52
BrT Fixa;NOSSA SENHORA DA GUIA;MT;2015-06-22;21;0;0
OI Fixa;MARUDA;PA;2015-06-22;21;0;0
BrT Fixa;WANDERLANDIA;TO;2015-06-22;21;1;4,76
OI Fixa;SAO LUIZ;RR;2015-06-22;21;2;9,52
OI Fixa;ROMARIA;MG;2015-06-22;21;0;0
OI Fixa;WENCESLAU GUIMARAES;BA;2015-06-22;21;0;0
Telefônica;TORRE DE PEDRA;SP;2015-06-22;21;3;14,29
OI Fixa;BUIQUE;PE;2015-06-22;21;0;0
Telefônica;CURUPA;SP;2015-06-22;21;0;0
Algar Telecom;BURITIZAL;SP;2015-06-22;21;0;0
BrT Fixa;SANTA TEREZINHA DE GOIAS;GO;2015-06-22;21;1;4,76
Embratel;NUCLEO BANDEIRANTE;DF;2015-06-22;21;1;4,76
Telefônica;JULIO MESQUITA;SP;2015-06-22;21;0;0
Algar Telecom;BURITI ALEGRE;GO;2015-06-22;21;1;4,76
Algar Telecom;TAPUIRAMA;MG;2015-06-22;21;1;4,76
BrT Fixa;PEDRO OSORIO;RS;2015-06-22;21;0;0
OI Fixa;COQUEIRAL;MG;2015-06-22;21;0;0
Telefônica;LUTECIA;SP;2015-06-22;21;4;19,05
OI Fixa;SANTA BARBARA DO PARA;PA;2015-06-22;21;4;19,05
BrT Fixa;SANTA RITA DO ARAGUAIA;GO;2015-06-22;21;0;0
BrT Fixa;NOVO SAO JOAQUIM;MT;2015-06-22;21;1;4,76
Telefônica;NOVAIS;SP;2015-06-22;20;0;0
BrT Fixa;BARROLANDIA;TO;2015-06-22;20;4;20
Algar Telecom;RIO CLARO;SP;2015-06-22;20;3;15
Telefônica;ORIENTE;SP;2015-06-22;20;1;5
OI Fixa;BELEM DO SAO FRANCISCO;PE;2015-06-22;20;5;25
OI Fixa;LAGOA DO OURO;PE;2015-06-22;20;3;15
Telefônica;SANTO ANTONIO DO JARDIM;SP;2015-06-22;20;0;0
OI Fixa;GUARANI;MG;2015-06-22;20;0;0
GVT;LINS;SP;2015-06-22;20;0;0
Telefônica;MIRA ESTRELA;SP;2015-06-22;20;1;5
BrT Fixa;GENERAL CAMARA;RS;2015-06-22;20;0;0
OI Fixa;AURELINO LEAL;BA;2015-06-22;20;0;0
BrT Fixa;JAGUARI;RS;2015-06-22;20;0;0
OI Fixa;CORREIA DE ALMEIDA;MG;2015-06-22;20;0;0
Nao Encontrado;AMAJARI;RR;2015-06-22;20;8;40
Telefônica;PONTES GESTAL;SP;2015-06-22;20;1;5
Sercomtel Fixa;MARINGA;PR;2015-06-22;20;0;0
OI Fixa;JANDAIRA;RN;2015-06-22;20;0;0
BrT Fixa;CASSILANDIA;MS;2015-06-22;20;1;5
OI Fixa;PIMENTA;MG;2015-06-22;20;1;5
OI Fixa;SERRANIA;MG;2015-06-22;20;0;0
OI Fixa;NATERCIA;MG;2015-06-22;20;0;0
OI Fixa;SAO RAIMUNDO DAS MANGABEIRAS;MA;2015-06-22;20;2;10
OI Fixa;IBITIRA;BA;2015-06-22;20;0;0
BrT Fixa;NONOAI;RS;2015-06-22;20;1;5
OI Fixa;AGUIA BRANCA;ES;2015-06-22;20;0;0
OI Fixa;JOANESIA;MG;2015-06-22;20;0;0
Algar Telecom;ARAMINA;SP;2015-06-22;20;0;0
BrT Fixa;SINIMBU;RS;2015-06-22;20;1;5
Embratel;JABOATAO DOS GUARARAPES;PE;2015-06-22;20;2;10
OI Fixa;SUSSUARANA;BA;2015-06-22;20;0;0
OI Fixa;JOAQUIM GOMES;AL;2015-06-22;20;0;0
Telefônica;LAVINIA;SP;2015-06-22;20;1;5
BrT Fixa;NOVA VENEZA;GO;2015-06-22;20;0;0
BrT Fixa;CAPELA DE SANTANA;RS;2015-06-22;20;1;5
Embratel;SIMOES FILHO;BA;2015-06-22;20;1;5
TVN;PIRAPORA;MG;2015-06-22;20;5;25
Embratel;SORRISO;MT;2015-06-22;20;0;0
BrT Fixa;PICADA CAFE;RS;2015-06-22;20;0;0
OI Fixa;AGUAS DE LINDOIA;SP;2015-06-22;20;0;0
BrT Fixa;LOANDA;PR;2015-06-22;20;1;5
Telefônica;ENGENHEIRO SCHMIDT;SP;2015-06-22;20;0;0
BrT Fixa;SELBACH;RS;2015-06-22;20;0;0
BrT Fixa;BARRACAO;RS;2015-06-22;20;2;10
OI Fixa;ITABIRINHA;MG;2015-06-22;20;0;0
OI Fixa;TRAJANO DE MORAIS;RJ;2015-06-22;20;0;0
Embratel;PAULISTA;PE;2015-06-22;20;0;0
OI Fixa;ABAIRA;BA;2015-06-22;20;1;5
OI Fixa;CALCOENE;AP;2015-06-22;20;3;15
OI Fixa;AMAJARI;RR;2015-06-22;20;8;40
BrT Fixa;MANDAGUARI;PR;2015-06-22;20;1;5
OI Fixa;SAO JOAO DA BALIZA;RR;2015-06-22;20;2;10
OI Fixa;BROTAS DE MACAUBAS;BA;2015-06-22;20;0;0
OI Fixa;SAO JOSE DA TAPERA;AL;2015-06-22;19;3;15,79
OI Fixa;PASSA TRES;RJ;2015-06-22;19;4;21,05
BrT Fixa;SANTO CRISTO;RS;2015-06-22;19;0;0
OI Fixa;ANTAS;BA;2015-06-22;19;0;0
OI Fixa;PALMOPOLIS;MG;2015-06-22;19;0;0
BrT Fixa;VICTOR GRAEFF;RS;2015-06-22;19;6;31,58
OI Fixa;AGUA PRETA;PE;2015-06-22;19;0;0
OI Fixa;MONTANHAS;RN;2015-06-22;19;1;5,26
BrT Fixa;APARECIDA DE GOIAS;GO;2015-06-22;19;0;0
OI Fixa;MONSENHOR TABOSA;CE;2015-06-22;19;1;5,26
OI Fixa;CEDRO;CE;2015-06-22;19;1;5,26
OI Fixa;DIVISA ALEGRE;MG;2015-06-22;19;1;5,26
OI Fixa;PINTOPOLIS;MG;2015-06-22;19;1;5,26
Telefônica;AVAI;SP;2015-06-22;19;1;5,26
OI Fixa;CANARANA;BA;2015-06-22;19;0;0
BrT Fixa;SANTA ROSA DO TOCANTINS;TO;2015-06-22;19;0;0
BrT Fixa;MARMELEIRO;PR;2015-06-22;19;4;21,05
BrT Fixa;PALMITAL;PR;2015-06-22;19;0;0
BrT Fixa;ENTRE RIOS DO OESTE;PR;2015-06-22;19;0;0
BrT Fixa;AGUDO;RS;2015-06-22;19;3;15,79
BrT Fixa;PARAISO;MS;2015-06-22;19;0;0
OI Fixa;BOA NOVA;BA;2015-06-22;19;1;5,26
Telefônica;JERIQUARA;SP;2015-06-22;19;1;5,26
OI Fixa;ARANTINA;MG;2015-06-22;19;1;5,26
BrT Fixa;ORLEANS;SC;2015-06-22;19;1;5,26
Nao Encontrado;FRANCA;SP;2015-06-22;19;0;0
OI Fixa;SAO PEDRO DOS FERROS;MG;2015-06-22;19;1;5,26
Telefônica;POPULINA;SP;2015-06-22;19;4;21,05
Hoje Telecom;MANAUS;AM;2015-06-22;19;0;0
BrT Fixa;ALTO ALEGRE DOS PARECIS;RO;2015-06-22;19;0;0
OI Fixa;JIJOCA DE JERICOACOARA;CE;2015-06-22;19;0;0
OI Fixa;PIEDADE DOS GERAIS;MG;2015-06-22;19;0;0
BrT Fixa;PIRAI DO SUL;PR;2015-06-22;19;0;0
Algar Telecom;MOEMA;MG;2015-06-22;19;1;5,26
OI Fixa;CRAVOLANDIA;BA;2015-06-22;19;3;15,79
OI Fixa;GOVERNADOR LINDENBERG;ES;2015-06-22;19;0;0
OI Fixa;LUIS CORREIA;PI;2015-06-22;19;0;0
OI Fixa;PORTO CALVO;AL;2015-06-22;19;0;0
BrT Fixa;RIO CRESPO;RO;2015-06-22;19;3;15,79
Telefônica;SANTA EUDOXIA;SP;2015-06-22;19;0;0
Algar Telecom;INDIANOPOLIS;MG;2015-06-22;19;0;0
BrT Fixa;TAQUARUSSU DO TOCANTINS;TO;2015-06-22;19;3;15,79
OI Fixa;TERRA SANTA;PA;2015-06-22;19;3;15,79
OI Fixa;ILHA DE ITAMARACA;PE;2015-06-22;19;0;0
OI Fixa;CAREACU;MG;2015-06-22;19;0;0
OI Fixa;PAULISTANA;PI;2015-06-22;19;0;0
Telefônica;JUMIRIM;SP;2015-06-22;19;1;5,26
Telefônica;BOREBI;SP;2015-06-22;19;0;0
OI Fixa;PIRACEMA;MG;2015-06-22;19;2;10,53
BrT Fixa;GETULIO VARGAS;RS;2015-06-22;19;0;0
OI Fixa;GUIDOVAL;MG;2015-06-22;19;1;5,26
OI Fixa;SENADOR LA ROQUE;MA;2015-06-22;19;0;0
Embratel;JAPERI;RJ;2015-06-22;19;0;0
BrT Fixa;SIDEROPOLIS;SC;2015-06-22;19;1;5,26
Telefônica;BONFIM PAULISTA;SP;2015-06-22;19;1;5,26
BrT Fixa;MONTE DO CARMO;TO;2015-06-22;18;0;0
OI Fixa;ALTO RIO DOCE;MG;2015-06-22;18;1;5,56
OI Fixa;TARUMIRIM;MG;2015-06-22;18;1;5,56
BrT Fixa;BRACO DO NORTE;SC;2015-06-22;18;0;0
OI Fixa;LEME DO PRADO;MG;2015-06-22;18;3;16,67
America Net;SAO BERNARDO DO CAMPO;SP;2015-06-22;18;0;0
OI Fixa;SAO SEBASTIAO DO ALTO;RJ;2015-06-22;18;0;0
BrT Fixa;RUBIATABA;GO;2015-06-22;18;3;16,67
BrT Fixa;URUTAI;GO;2015-06-22;18;0;0
Telefônica;SANTELMO;SP;2015-06-22;18;2;11,11
Algar Telecom;INACIOLANDIA;GO;2015-06-22;18;0;0
Telefônica;AREIAS;SP;2015-06-22;18;0;0
BrT Fixa;TORIXOREU;MT;2015-06-22;18;1;5,56
OI Fixa;ARAPUA;MG;2015-06-22;18;0;0
Embratel;SABARA;MG;2015-06-22;18;0;0
OI Fixa;VIRGOLANDIA;MG;2015-06-22;18;0;0
BrT Fixa;TEIXEIROPOLIS;RO;2015-06-22;18;0;0
OI Fixa;MELGACO;PA;2015-06-22;18;1;5,56
OI Fixa;TURIACU;MA;2015-06-22;18;4;22,22
BrT Fixa;RENASCENCA;PR;2015-06-22;18;0;0
BrT Fixa;CRIXAS DO TOCANTINS;TO;2015-06-22;18;1;5,56
OI Fixa;CAJURI;MG;2015-06-22;18;0;0
Telefônica;GUAIMBE;SP;2015-06-22;18;0;0
BrT Fixa;SANTA LUCIA;PR;2015-06-22;18;0;0
Telefônica;HOLAMBRA II;SP;2015-06-22;18;0;0
BrT Fixa;NOVA LONDRINA;PR;2015-06-22;18;0;0
OI Fixa;NAZARENO;MG;2015-06-22;18;2;11,11
OI Fixa;GALILEIA;MG;2015-06-22;18;0;0
OI Fixa;TABULEIRO;MG;2015-06-22;18;0;0
BrT Fixa;HULHA NEGRA;RS;2015-06-22;18;0;0
Algar Telecom;CHAVESLANDIA;MG;2015-06-22;18;0;0
OI Fixa;MATERLANDIA;MG;2015-06-22;18;2;11,11
OI Fixa;MIRANTE;BA;2015-06-22;18;0;0
OI Fixa;PILAR;AL;2015-06-22;18;0;0
OI Fixa;ITANHOMI;MG;2015-06-22;18;1;5,56
OI Fixa;ESPERANTINA;PI;2015-06-22;18;0;0
BrT Fixa;SAO VALERIO DA NATIVIDADE;TO;2015-06-22;18;0;0
BrT Fixa;CAMPINORTE;GO;2015-06-22;18;0;0
OI Fixa;SENHORA DE OLIVEIRA;MG;2015-06-22;18;0;0
OI Fixa;BALDIM;MG;2015-06-22;18;0;0
BrT Fixa;TALISMA;TO;2015-06-22;18;0;0
OI Fixa;ANAJATUBA;MA;2015-06-22;18;0;0
Algar Telecom;MARAVILHAS;MG;2015-06-22;18;0;0
OI Fixa;ALVORADA DE MINAS;MG;2015-06-22;18;3;16,67
BrT Fixa;DARCINOPOLIS;TO;2015-06-22;18;2;11,11
OI Fixa;SAO FRANCISCO DO PARA;PA;2015-06-22;18;1;5,56
OI Fixa;SANTO ANTONIO DO ICA;AM;2015-06-22;18;8;44,44
OI Fixa;FEIRA NOVA;PE;2015-06-22;18;1;5,56
OI Fixa;CONSERVATORIA;RJ;2015-06-22;18;0;0
OI Fixa;OLHO-D'AGUA DO BORGES;RN;2015-06-22;18;1;5,56
Telefônica;BARRA DO TURVO;SP;2015-06-22;18;1;5,56
OI Fixa;SERRITA;PE;2015-06-22;18;0;0
OI Fixa;TURVOLANDIA;MG;2015-06-22;18;0;0
OI Fixa;GOUVEIA;MG;2015-06-22;18;1;5,56
OI Fixa;BARREIRINHA;AM;2015-06-22;18;0;0
BrT Fixa;INDIAVAI;MT;2015-06-22;18;5;27,78
Telefônica;MARIAPOLIS;SP;2015-06-22;18;0;0
OI Fixa;LIBERDADE;MG;2015-06-22;18;1;5,56
OI Fixa;SERITINGA;MG;2015-06-22;18;0;0
OI Fixa;SANTA EFIGENIA;MG;2015-06-22;18;0;0
OI Fixa;MIGUEL ALVES;PI;2015-06-22;18;0;0
OI Fixa;SAO VICENTE;RN;2015-06-22;18;0;0
OI Fixa;SARDOA;MG;2015-06-22;18;0;0
OI Fixa;ALAGOINHA;PE;2015-06-22;18;0;0
Algar Telecom;CARNEIRINHO;MG;2015-06-22;18;0;0
GVT;BIGUACU;SC;2015-06-22;18;0;0
Telefônica;IDA IOLANDA;SP;2015-06-22;18;0;0
BrT Fixa;MAURILANDIA;GO;2015-06-22;18;1;5,56
OI Fixa;IGACI;AL;2015-06-22;18;0;0
BrT Fixa;AGUAS LINDAS;GO;2015-06-22;18;2;11,11
OI Fixa;PILAO ARCADO;BA;2015-06-22;18;0;0
OI Fixa;SAO JOSE DOS SALGADOS;MG;2015-06-22;18;0;0
Telefônica;TRES RIOS;RJ;2015-06-22;18;0;0
BrT Fixa;HONORIO SERPA;PR;2015-06-22;18;2;11,11
OI Fixa;ANTONIO CARDOSO;BA;2015-06-22;18;0;0
OI Fixa;AMARANTINA;MG;2015-06-22;18;0;0
OI Fixa;CUMURUXATIBA;BA;2015-06-22;17;0;0
OI Fixa;PARNARAMA;MA;2015-06-22;17;0;0
OI Fixa;PARAMOTI;CE;2015-06-22;17;0;0
OI Fixa;INHUMA;PI;2015-06-22;17;0;0
GVT;OURINHOS;SP;2015-06-22;17;2;11,76
BrT Fixa;BRASILANDIA;MS;2015-06-22;17;0;0
OI Fixa;IPIXUNA;AM;2015-06-22;17;3;17,65
OI Fixa;PASSAGEM FRANCA;MA;2015-06-22;17;0;0
OI Fixa;BARROCAS;BA;2015-06-22;17;0;0
BrT Fixa;IRAI;RS;2015-06-22;17;0;0
OI Fixa;AGUA DOCE DO NORTE;ES;2015-06-22;17;0;0
Telefônica;RIFAINA;SP;2015-06-22;17;0;0
OI Fixa;FONTE BOA;AM;2015-06-22;17;1;5,88
OI Fixa;CANA VERDE;MG;2015-06-22;17;0;0
OI Fixa;MUCURICI;ES;2015-06-22;17;1;5,88
OI Fixa;DOM JOAQUIM;MG;2015-06-22;17;0;0
BrT Fixa;NOVA ESPERANCA DO SUDOESTE;PR;2015-06-22;17;0;0
Embratel;EUNAPOLIS;BA;2015-06-22;17;1;5,88
OI Fixa;BARAO DE GRAJAU;MA;2015-06-22;17;0;0
BrT Fixa;MANDAGUACU;PR;2015-06-22;17;3;17,65
Algar Telecom;PATROCINIO;MG;2015-06-22;17;0;0
OI Fixa;MARAPANIM;PA;2015-06-22;17;0;0
OI Fixa;MUCAJAI;RR;2015-06-22;17;0;0
America Net;SAO ROQUE;SP;2015-06-22;17;1;5,88
BrT Fixa;CATUIPE;RS;2015-06-22;17;0;0
OI Fixa;CAPARAO;MG;2015-06-22;17;0;0
OI Fixa;SANTO ANTONIO DO TAUA;PA;2015-06-22;17;2;11,76
Telefônica;MARAPOAMA;SP;2015-06-22;17;1;5,88
Telefônica;UBIRAJARA;SP;2015-06-22;17;0;0
BrT Fixa;SAO JOSE DO XINGU;MT;2015-06-22;17;1;5,88
BrT Fixa;TERRA DE AREIA;RS;2015-06-22;17;0;0
BrT Fixa;CARAMUJO;MT;2015-06-22;17;4;23,53
Telefônica;ITAPIRAPUA PAULISTA;SP;2015-06-22;17;0;0
BrT Fixa;ALPESTRE;RS;2015-06-22;17;0;0
BrT Fixa;NOVA SANTA BARBARA;PR;2015-06-22;17;1;5,88
Telefônica;ANHUMAS;SP;2015-06-22;17;1;5,88
Nao Encontrado;UBERABA;MG;2015-06-22;17;0;0
BrT Fixa;DIAMANTE D'OESTE;PR;2015-06-22;17;0;0
Algar Telecom;HONOROPOLIS;MG;2015-06-22;17;0;0
BrT Fixa;ARAL MOREIRA;MS;2015-06-22;17;4;23,53
OI Fixa;AUTAZES;AM;2015-06-22;17;8;47,06
BrT Fixa;CAIAPONIA;GO;2015-06-22;17;0;0
OI Fixa;GUAIUBA;CE;2015-06-22;17;0;0
BrT Fixa;MAMBAI;GO;2015-06-22;17;0;0
BrT Fixa;SAO JOAO D'ALIANCA;GO;2015-06-22;17;2;11,76
OI Fixa;SAO BENTO;MA;2015-06-22;17;0;0
OI Fixa;DIONISIO;MG;2015-06-22;17;2;11,76
Telefônica;RUBINEIA;SP;2015-06-22;17;0;0
BrT Fixa;ARAGUAPAZ;GO;2015-06-22;17;9;52,94
OI Fixa;BANZAE;BA;2015-06-22;17;1;5,88
Telefônica;AGULHA;SP;2015-06-22;17;0;0
BrT Fixa;FAINA;GO;2015-06-22;17;0;0
Embratel;ARIQUEMES;RO;2015-06-22;17;17;100
OI Fixa;PAU BRASIL;BA;2015-06-22;17;4;23,53
OI Fixa;SAO BRAS DO SUACUI;MG;2015-06-22;17;1;5,88
OI Fixa;SAO JOAO BATISTA DO GLORIA;MG;2015-06-22;17;2;11,76
OI Fixa;AUGUSTO CORREA;PA;2015-06-22;16;0;0
OI Fixa;LARANJEIRAS;SE;2015-06-22;16;2;12,5
OI Fixa;BRASIL NOVO;PA;2015-06-22;16;3;18,75
Telefônica;APARECIDA DE SAO MANUEL;SP;2015-06-22;16;0;0
Algar Telecom;SAO BENEDITO DA CACHOEIRINHA;SP;2015-06-22;16;1;6,25
BrT Fixa;COLMEIA;TO;2015-06-22;16;0;0
BrT Fixa;SALETE;SC;2015-06-22;16;1;6,25
OI Fixa;JAPURA;AM;2015-06-22;16;2;12,5
OI Fixa;FELIPE GUERRA;RN;2015-06-22;16;3;18,75
GVT;BOTUCATU;SP;2015-06-22;16;1;6,25
OI Fixa;CONCEICAO;PB;2015-06-22;16;1;6,25
OI Fixa;PAULISTAS;MG;2015-06-22;16;1;6,25
OI Fixa;NOVO ORIENTE;CE;2015-06-22;16;3;18,75
Telefônica;SANTOPOLIS DO AGUAPEI;SP;2015-06-22;16;1;6,25
BrT Fixa;MATO LEITAO;RS;2015-06-22;16;1;6,25
BrT Fixa;ANANAS;TO;2015-06-22;16;0;0
OI Fixa;DIVISA NOVA;MG;2015-06-22;16;0;0
OI Fixa;CURRALINHO;PA;2015-06-22;16;0;0
OI Fixa;CAMPOS DOS GOITACAZES;RJ;2015-06-22;16;0;0
OI Fixa;ENTRE FOLHAS;MG;2015-06-22;16;0;0
OI Fixa;LIMA CAMPOS;CE;2015-06-22;16;5;31,25
OI Fixa;MALACACHETA;MG;2015-06-22;16;0;0
OI Fixa;SOURE;PA;2015-06-22;16;0;0
OI Fixa;MULUNGU;CE;2015-06-22;16;2;12,5
BrT Fixa;BOCAINA DO SUL;SC;2015-06-22;16;0;0
BrT Fixa;ERNESTINA;RS;2015-06-22;16;0;0
OI Fixa;SAO JOSE DE UBA;RJ;2015-06-22;16;1;6,25
BrT Fixa;IPE;RS;2015-06-22;16;0;0
Embratel;RIBEIRAO PIRES;SP;2015-06-22;16;0;0
Vivo Fixo;DUQUE DE CAXIAS;RJ;2015-06-22;16;1;6,25
OI Fixa;JACARACI;BA;2015-06-22;16;0;0
OI Fixa;ALEGRETE DO PIAUI;PI;2015-06-22;16;0;0
OI Fixa;SAO SEBASTIAO;AL;2015-06-22;16;0;0
OI Fixa;TRACUNHAEM;PE;2015-06-22;16;0;0
Telefônica;SAO GONCALO;RJ;2015-06-22;16;0;0
Telefônica;DOBRADA;SP;2015-06-22;16;1;6,25
OI Fixa;REALEZA;MG;2015-06-22;16;1;6,25
OI Fixa;CONDE;PB;2015-06-22;16;0;0
OI Fixa;MONTE ALEGRE;RN;2015-06-22;16;0;0
Telefônica;RIBEIRO DOS SANTOS;SP;2015-06-22;16;1;6,25
OI Fixa;URUANA DE MINAS;MG;2015-06-22;16;0;0
OI Fixa;ROSARIO DA LIMEIRA;MG;2015-06-22;16;0;0
